epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8749,1.89626,6.70287,0.02191,0.00574,0.28417,0.0073,0.00323,1.97361,3.61376,0.0236,0.00026656,0.00026656,0.00026656
2,36.1706,1.78679,6.43307,0.02083,0.00478,0.46,0.02147,0.01012,1.89054,3.84239,0.02291,0.000530729,0.000530729,0.000530729
3,42.0052,1.74713,5.97877,0.0199,0.00424,0.43417,0.09818,0.04372,1.91939,3.97325,0.02418,0.000784013,0.000784013,0.000784013
4,47.9547,1.7672,5.68754,0.01963,0.00379,0.52167,0.06628,0.02603,1.9768,3.74264,0.02666,0.00078352,0.00078352,0.00078352
5,53.979,1.69559,5.39725,0.01954,0.74809,0.03083,0.15498,0.04483,1.99638,3.54663,0.02513,0.000767026,0.000767026,0.000767026
6,60.2209,1.73648,5.1222,0.01976,0.72043,0.06667,0.0921,0.04093,1.97707,3.28465,0.02621,0.000750533,0.000750533,0.000750533
7,66.184,1.71617,4.89411,0.0201,0.43978,0.04583,0.0807,0.04453,1.83348,3.33518,0.0235,0.00073404,0.00073404,0.00073404
8,72.1546,1.73333,4.72854,0.01943,0.44219,0.04583,0.08872,0.04345,1.95241,3.31691,0.02535,0.000717546,0.000717546,0.000717546
9,78.0854,1.69292,4.38747,0.01903,0.43059,0.05167,0.04189,0.01618,1.90135,3.42758,0.02337,0.000701053,0.000701053,0.000701053
10,84.2411,1.676,4.29344,0.01982,0.24043,0.24812,0.18856,0.08609,1.87537,3.20526,0.02491,0.000684559,0.000684559,0.000684559
11,90.5181,1.65116,4.04723,0.01886,0.49093,0.1705,0.25305,0.12417,1.76554,3.25998,0.0209,0.000668066,0.000668066,0.000668066
12,98.0511,1.62746,3.94816,0.01862,0.43838,0.09838,0.13505,0.06591,1.89673,3.21621,0.02241,0.000651573,0.000651573,0.000651573
13,109.004,1.64136,3.7303,0.01844,0.83044,0.16667,0.23792,0.1095,1.94752,3.19403,0.02515,0.000635079,0.000635079,0.000635079
14,119.83,1.61375,3.63309,0.01814,0.38054,0.20787,0.20374,0.11533,1.97999,3.04505,0.02683,0.000618586,0.000618586,0.000618586
15,130.708,1.63226,3.52768,0.0182,0.463,0.18083,0.22553,0.13887,1.74534,3.04663,0.0223,0.000602092,0.000602092,0.000602092
16,140.601,1.62134,3.35878,0.01797,0.85387,0.125,0.32781,0.16311,1.8264,2.98146,0.02215,0.000585599,0.000585599,0.000585599
17,152.273,1.62577,3.23631,0.01864,0.36824,0.2075,0.165,0.08926,1.92792,3.04377,0.02461,0.000569106,0.000569106,0.000569106
18,162.597,1.58594,3.13211,0.01767,0.46665,0.23896,0.17345,0.07987,1.84928,3.1263,0.02353,0.000552612,0.000552612,0.000552612
19,172.395,1.59145,3.01692,0.01757,0.22701,0.25394,0.10902,0.0411,1.90652,3.09295,0.02404,0.000536119,0.000536119,0.000536119
20,181.124,1.58314,2.92755,0.01767,0.23074,0.23833,0.16047,0.06911,1.89545,3.04545,0.02267,0.000519625,0.000519625,0.000519625
21,187.447,1.57788,2.81061,0.01758,0.42361,0.2766,0.18187,0.10003,1.80812,2.88907,0.02132,0.000503132,0.000503132,0.000503132
22,193.662,1.57857,2.77665,0.01752,0.54822,0.295,0.28256,0.17202,2.04949,2.86599,0.02466,0.000486639,0.000486639,0.000486639
23,200.121,1.52195,2.66958,0.01649,0.33989,0.12312,0.15892,0.08864,1.93913,2.96018,0.02359,0.000470145,0.000470145,0.000470145
24,206.405,1.57972,2.5687,0.018,0.47756,0.17314,0.11745,0.06179,1.81959,3.08533,0.02149,0.000453652,0.000453652,0.000453652
25,212.551,1.53622,2.51434,0.01704,0.50756,0.1669,0.26705,0.12605,1.92662,2.87936,0.02375,0.000437158,0.000437158,0.000437158
26,218.858,1.5379,2.44556,0.01735,0.40496,0.26582,0.22559,0.14372,1.89541,2.97751,0.02409,0.000420665,0.000420665,0.000420665
27,225.098,1.55633,2.43601,0.017,0.62815,0.23422,0.26087,0.11859,1.89819,2.99013,0.02446,0.000404172,0.000404172,0.000404172
28,231.329,1.53035,2.30677,0.0171,0.29707,0.32583,0.29124,0.13396,1.90827,2.93204,0.02483,0.000387678,0.000387678,0.000387678
29,237.501,1.51622,2.24917,0.01735,0.79508,0.2075,0.25696,0.1411,1.78951,3.22404,0.02276,0.000371185,0.000371185,0.000371185
